query	title	neg_title
慢性乙肝患者服药依从性	老年慢性乙肝患者服药依从性影响因素现状调查老年,慢性乙肝,服药依从性	微信延续护理对慢性乙肝患者治疗依从性的影响效果分析微信,延续护理,慢性乙肝,治疗依从性
关键词:城市集聚经济	中国的地区工业集聚:经济地理、新经济地理与经济政策工业集聚,经济地理,新经济地理,经济政策	沪宁杭城市密集区城市流研究城市流,城市流强度,沪宁杭城市密集区
(中国特色社会主义) 关键词:文化软实力	我国文化软实力提升路径探析文化软实力;社会主义文化强国;中华文化	坚持创造性转化、创新性发展用心用情用功做好文化类节目创作播出文化类节目;中华优秀传统文化;创造性转化;创新性发展;文化软实力
新时代构建人类命运共同体	新时代构建人类命运共同体的价值论思考人类命运共同体,价值主体,价值评价,价值实现	构建人类命运共同体对历史唯物主义的原创性贡献人类命运共同体,历史唯物主义,全球治理体系,普遍交往,共同价值
重金属分布特征	芜湖市工业区土壤重金属形态分布特征城市工业区,重金属,芜湖	漳州市城市土壤重金属含量特征及控制因素重金属,土壤,相关分析,聚类分析,漳州市
疏浚 土  生产率	耙吸挖泥船施工效率预测模型研究自航耙吸挖泥船,施工效率,模型	基于遗传BP神经网络的耙吸挖泥船产量预测研究耙吸挖泥船,干土方生产率,BP神经网络,遗传算法
蛭龙活血通瘀胶囊	蛭龙活血通瘀胶囊对脑出血大鼠血清炎性因子的影响蛭龙活血通瘀胶囊,脑出血,病理形态,TNF-α,IL-1,IL-6	蛭龙活血通瘀胶囊联合手法复位小夹板外固定治疗 桡骨远端骨折的临床疗效分析桡骨远端骨折,手法复位,蛭龙活血通瘀胶囊,夹板外固定
酰胺大环化合物合成	N,N-二甲基甲酰胺(DMF)促进羟基氮杂环与卤代烃的专一性N-烷基化反应:直接高效的吡啶酮类化合物合成方法羟基氮杂环;卤代烃;吡啶酮;N-烷基化;N,N-二甲基甲酰胺(DMF);溶剂效应	"含有双氰基环丙烷甲酰胺类化合物的合成及生物活性双氰基环丙烷甲酰胺,Strecker反应,缩合,生物活性
"
二阶RC电路参数辨识	基于自适应无迹卡尔曼滤波的动力电池SOC估计二阶RC等效电路模型,无迹卡尔曼滤波,电池SOC,自适应算法	基于改进的CDKF锂电池SOC估计方法荷电状态;CDKF;参数辨识;LM优化方法
新员工培训问题及对策研究	新员工培训问题及对策研究新员工培训,培训体系,培训需求分析	浅谈企业员工培训中存在的问题及对策基层单位,培训工作,问题,改进措施
秀丽隐杆线虫	秀丽隐杆线虫在神经科学研究中的应用秀丽隐杆线虫,高级神经功能活动,神经系统疾病,神经科学	秀丽隐杆线虫研究综述秀丽隐杆线虫,研究,前景
竞业限制 商业秘密	商业秘密保护与竞业禁止商业秘密保护,竞业禁止,社会公共利益	商业秘密即发侵权保护:不可避免披露制度的引入与重构商业秘密,即发侵权,不可避免披露原则,硅谷共享信息模式
酚醛泡沫塑料	酚醛泡沫塑料研究进展及其应用酚醛树脂,泡沫塑料,研究进展,应用	酚醛泡沫塑料的性能及其发展新趋势酚醛泡沫,抗压强度,弯曲强度,脆性,生产工艺
(上市公司财务风险分析) Date:2016-2021	医药制造业上市公司的财务风险分析医药制造业上市公司,公司财务状况评价,因子分析,功效系数法	上市公司并购财务风险分析及防范上市公司,公司并购,财务风险,风险防范
web新闻发布系统	基于web的新闻发布系统新闻发布系统,web,三层B/S结构,JAVABEAN	"基于WEB的企业新闻发布系统的设计web,新闻发布系统,设计
"
下腔静脉扩张指数	中心静脉压和下腔静脉扩张指数评价机械通气脓毒症患者 容量状态的临床探讨脓毒症,机械通气,容量状态,CVP,dIVC	全腔静脉肺动脉连接术后早期吸入一氧化氮对肺血管阻力的影响心脏缺损,先天性,一氧化氮,心血管外科手术,血液动力学
作者:徐道稳	我国社会工作者工资决定机制研究——基于对深圳市社会工作实践的分析社会工作者,工资决定机制,退出-挽留机制,退出-呼吁机制	改革开放以来中国慈善事业的转型发展——以国家发展战略为分析视角改革开放,慈善事业,转型发展,国家发展战略
赞同言语行为	汉语不赞同言语行为的调节策略不赞同言语行为,内部调节,外部调节	浅谈言语行为理论及其应用言语行为理论,奥斯汀,舍尔,应用
慢性阻塞性肺疾病的治疗	慢性阻塞性肺疾病的治疗进展慢性阻塞性肺疾病,治疗,雾化吸入治疗	慢性阻塞性肺疾病的治疗进展肺疾病,慢性阻塞性,药物治疗,非药物治疗,研究进展
社区矫正未成年人犯罪	社区矫正对未成年犯罪的功能分析及完善措施未成年犯;社区矫正法;功能分析;完善措施	未成年人毒品犯罪处遇机制的完善未成年人,毒品犯罪,原因,处遇机制
湛江市第二人民医院	肝硬化疾病诊断中的生化检验项目价值研究生化检验,肝硬化,临床诊断	经筋刺法治疗中风偏瘫肢体痉挛状态肢体痉挛;中风偏瘫;经筋刺法
对台政策	蔡英文上台后日本对台政策新趋势探析日本对台政策,中日关系,蔡英文	"新中国成立前后美国对台政策初探美国,新中国,对台政策
"
幼儿园教育小学化倾向的现状调查及对策研究	幼儿园“小学化”治理:发展历程、现实问题与对策建议幼儿园教育,小学化,城镇乡差异,治理工作	幼儿教育小学化倾向的现状以及对策幼儿教育,小学化倾向,现状及对策
PCR检测白血病	实时定量荧光PCR检测白血病融合基因白血病,融合基因,实时定量RT-PCR	一步法实时荧光定量PCR检测白血病WT1基因mRNA聚合酶链反应定量,白血病,WT1基因
蛭丹化瘀  北京友谊医院	蛭丹化瘀组方制剂的质量研究蛭丹化瘀方,芍药苷,阿魏酸,芒柄花素,丹皮酚,含量测定,高效液相色谱法	蛭丹化瘀组方对LPS诱导急性肺损伤大鼠炎性反应的影响蛭丹化瘀组方,脂多糖,肺损伤,炎性反应因子
信息系统安全与保密	基于网络安全的医院信息安全设计改造与分析网络安全,医院信息系统,现状,需求,设计	政务信息系统云化迁移过程的信息安全和保密管理研究政务信息系统;云化迁移;信息安全;保密管理
高血压视网膜病变(hypeesive	舒血宁注射液辅助治疗高血压视网膜病变的临床疗效高血压;视网膜病变;舒血宁注射液;临床疗效;小动脉痉挛;动静脉交叉	高血压视网膜病变与血脂高血压视网膜病变,血脂
互助养老	"""义庄"":创建现代农村家族邻里互助养老模式的重要参鉴——基于社会资本的视角人口社会学,社会资本,农村养老模式,家族"	社区互助养老:解决我国城乡养老问题的理性选择社区,互助,养老
越X越Y	“越X越Y”构式解析“越X越Y”构式,构式义,构式语法	"俄汉语""越X,越Y""句的构式标记比较分析""越X,越Y"",结构格式,成分构成,比例关系句位管控"
转基因大豆油的检测技术	荧光定量PCR对大豆油中转基因成分的检测大豆油,实时荧光技术,转基因成分	抗草甘膦转基因大豆的酚类物质分析转基因大豆,酚类,HPLC图谱
骨和关节感染 病原菌	老年关节假体周围慢性感染病原菌特点调查老年人,慢性感染,细菌谱,耐药,关节假体周围感染	2014-2016年北京市9家医院人工髋膝关节置换术后假体周围感染患者微生物学的多中心调查研究关节成形术,置换,髋,膝,微生物,抗菌药物,感染
习近平 作风建设	习近平党的作风建设思想探析习近平,作风建设,党性,问题导向,制度化	习近平强调党的作风建设的当代价值党的作风建设,作风不正原因,改进作风对策
烧伤患者的运动治疗	康复运动训练对尿毒症血液透析患者睡眠质量及疲劳程度的影响康复运动训练,尿毒症,血液透析,睡眠质量,疲劳程度	阿基米德悬吊系统在深度烧伤后膝关节屈曲功能障碍康复中的临床效果烧伤,康复,膝关节,悬吊
基于税收优惠的我国个税递延型养老保险研究	基于税收优惠的个税递延型养老保险研究税收优惠,个税递延,养老保险	我国个人商业养老保险的 税优政策研究 ——基于个税递延型商业养老保险试点个税递延型,商业养老保险,税优政策,EET模式,累退效应,TEE模式
群众路线	关于践行党的群众路线的思考群众路线,党群干群关系,四风问题	群众路线的社会治理功能论析群众路线;社会治理功能;人民群众;党史百年
刮痧历史	刮痧疗法的历史沿革与发展刮痧,痧症,发展	刮痧疗法干预新型冠状病毒肺炎恢复期的分析和建议新型冠状病毒肺炎,刮痧,瘟疫,咳嗽,免疫机制,抗氧化
中医人才特征	从中医师承教育思考当今中医学教育中医学教育,师承教育,院校教育	中药化学课程思政的教学探索与教学效果实践中药化学;课程思政;教学探索;教学效果
房产税房价宏观调控	浅析房产税开征对房地产行业发展的影响房产税,房价,房地产行业	房产税调控政策对商品房价的影响研究——基于合成控制法的分析房产税,宏观政策,房价,合成控制法
混凝土结构耐久性	混凝土结构耐久性的研究综述混凝土,结构,耐久性	公路桥梁混凝土结构耐久性与养护技术研究公路桥梁,混凝土结构,耐久性施工,桥梁养护
二语习得 英语教学	第二语言学习策略研究:问题与对策学习策略,第二语言习得,外语教学	"检验""投入量假设""的实证研究--阅读任务对中国学生词汇记忆的影响投入量假设,阅读任务,词汇记忆,中国学生"
聚类算法	深度聚类算法研究综述聚类;深度学习;特征学习;神经网络结构;聚类损失;网络辅助损失	无人仓系统订单分批问题及K-max聚类算法无人仓;货到人;订单分批;分类型数据;取大运算;K-max聚类算法;加权距离
作者:朱熙昀	经脐单孔腹腔镜联合微创筋膜闭合器治疗小儿腹股沟斜疝206例临床体会经脐单孔腹腔镜,微创筋膜闭合器,小儿腹股沟斜疝	白蛋白紫杉醇治疗HER-2阴性晚期乳腺癌的效果和安全性分析白蛋白紫杉醇,HER-2阴性晚期乳腺癌,临床疗效
法律的权威	论社会主义法律的权威性依法治国,法律权威,法律失控,社会主义法律	谈农村社会国家法律的权威--对法律规范自身的思考法律权威,农村,法治,法律规范
细菌性阴道炎	康妇凝胶治疗细菌性阴道炎和霉菌性阴道炎的疗效观察康妇凝胶;细菌性阴道炎;霉菌性阴道炎;疗效观察;不良反应;有效率	师承椒艾汤加减在妇科细菌性阴道炎中的应用细菌性阴道炎,效果,妇科,椒艾汤
科技期刊评价体系	智媒时代科普期刊评价体系的症结与创新科普期刊,智媒时代,评价体系,指标革新,智慧评价	基于文献统计的中国杨凌农高会研究进展与展望杨凌农高会,文献统计,农业,农业高新科技
预告登记	浅析不动产预告登记制度的完善不动产,预告登记,不足,完善建议	抵押权预告登记优先受偿权问题探究抵押权,预告登记,优先受偿权
(结肠息肉) 关键词:护理	内镜下高频电凝电切结肠息肉的护理与配合高频电切,结肠息肉,护理	167例无痛结肠镜下行结肠息肉电切术的护理体会无痛结肠镜,结肠多发性息肉,高频电切术,护理
超低能耗房屋	被动式超低能耗建筑设计基础与应用人居环境??被动式设计?超低能耗??建筑节能	寒冷地区被动式超低能耗建筑关键技术寒冷地区,被动式超低能耗,施工技术
琵琶行音乐	我国琵琶艺术的两个高峰时期琵琶艺术,琵琶行,琵琶演奏,民族乐器,弦乐器,五弦琵琶,音乐艺术,艺术魅力,弹拨乐器,少数民族	白居易的音乐诗音乐诗,《琵琶行》,白乐天,全唐诗,《长恨歌》,诗云,胡儿,乐府诗,《与元九书》,中唐时期
老年冠心病合并糖尿病 综合护理	综合护理干预对优化老年糖尿病合并冠心病患者的效果分析老年患者,糖尿病,冠心病,综合护理干预,效果	循证护理对老年2型糖尿病合并冠心病患者疗效及预后的影响冠心病,2型糖尿病,老年,循证护理,预后
高血压心衰	贝那普利联合美托洛尔治疗高血压心衰临床效果观察贝那普利,美托洛尔,高血压心衰,临床效果,观察	不同左心室射血分数心力衰竭住院患者的临床特征、诊疗情况及结局差异心力衰竭;左心室射血分数;临床特征;院内管理;结局
建筑工程中高支模施工工艺分析	房建土建工程中的高支模施工技术研究房建工程,土建工程,高支模,技术要点	房建土建工程中的高支模施工技术分析房建工程,高支模施工,分析
强度预测 岩体	单节理岩体强度试验研究单节理岩体,强度,室内试验,数值试验,岩工工程	基于等效岩体技术的节理参数对岩体强度影响性研究离散裂隙网络,岩体表征单元,岩体强度,敏感性分析
(脱脂酶) 关键词:制革	柴油脂肪酶ZG的制革应用性能研究脂肪酶ZG,性能,制革,脱脂	酶在制革工业与纺织工业中的应用酶制剂,制革,纺织,应用,前景
丰润职教中心	微课在中职会计教学中的运用微课,中职会计教学	职业农民收入水平与培训需求关联性分析——基于河北省的调查职业农民,收入水平,培训需求,关联性
美国精英 特朗普	特朗普权谋:民粹主义外衣下的精英主义内核特朗普,民粹主义,精英主义,内核	特朗普任期内美国内外政策调整与中美关系美国大选,唐纳德·特朗普,美国内外政策,中美关系
水蛭抗凝血实验	水蛭抗凝血作用实验研究及化学成分分析水蛭,抗凝血,成分分析	"水蛭不同提取物抗凝活性的体外实验研究水蛭,抗凝血,提取物
"
四足机器人跳跃	液压四足机器人的跳跃步态控制四足机器人,液压驱动,运动控制,弹簧负载倒立摆,跳跃步态	"液压四足机器人的跳跃步态控制四足机器人,液压驱动,运动控制,弹簧负载倒立摆,跳跃步态
"
冬季、乌拉尔阻塞	1950-2004年欧亚大陆阻塞高压活动的统计特征阻高,地理分布,年际变化,季节内变化	珠三角冬季雷暴的大气环流特征及海温异常背景气候学,冬季雷暴大气环流特征,海温异常背景,气候统计,珠三角
临床路径  精神分裂症	临床护理路径在精神分裂症患者标准化管理中的应用临床路径,精神分裂症,护理管理研究	精神分裂症患者实施临床护理路径的应用效果精神分裂症,临床护理,应用效果
邻水县 高中	信息技术背景下的高中化学教学探究信息技术,高中化学,策略	浅谈高中物理的实验教学的实践研究高中物理,实验教学,实践策略
普惠金融发展的法律机制研究	乡村振兴战略下农村数字普惠金融监管研究乡村振兴;数字普惠金融;金融风险;技术风险;金融监管	互联网金融风险及其防范研究互联网金融,风险组成,风险特点,政策建议
人机协作	人机协作系统中车辆轨迹规划与轨迹跟踪控制研究汽车工程;智能驾驶;人机协作;轨迹规划;轨迹跟踪;深度学习	基于小波包的人机协作训练生理心理特征提取与识别远程康复,人机协作,小波变换,无线体域网,特征提取
作者:冷蓓峥	COPD急性加重并呼吸衰竭患者无创正压通气治疗失败原因分析肺疾病,慢性阻塞性,呼吸功能不全,连续气道正压通气	肺灌洗治疗支气管扩张并发肺脓肿临床疗效研究肺灌洗,支气管扩张,肺部感染,庆大霉素,生理盐水
无公害农产品生产	农药使用与无公害农产品生产农药,无公害农产品,生产	植物保护与无公害农产品生产的发展植物保护,无公害农产品,生产,促进
作者:宋艳	CDX2在人体组织中的表达及临床意义CDX2,上皮,肿瘤	86例子宫内膜样腺癌附件转移患者的临床病理特征分析子宫内膜样腺癌,附件,隐匿性转移,雌激素受体,孕激素受体
作者:倪富健	改性乳化沥青冷拌碎石封层高温性能研究MSCR试验;高温流变性能;负荷轮试验;构造深度变化率	"基于乳化沥青流变性能的桥面铺装磨耗层抗剥落性能研究桥面铺装,乳化沥青类磨耗层,抗剥落性能,流变性能
"
河南民歌	河南民歌研究现状及对策分析河南民歌,研究现状,对策分析	论河南民歌歌词特点与衬词规律河南民歌,衬词,声调,音韵
海上丝绸贸易	"海洋物流对中国与""21世纪海上丝绸之路""沿线国家贸易影响的实证分析海洋物流,引力模型,双边贸易,21世纪海上丝绸之路"	21世纪海上丝绸之路贸易自由化和便利化的经济效应分析海上丝绸之路,贸易自由化,贸易便利化,GTAP模型
饲料现状	微生态饲料添加剂在养殖业中的应用现状微生态,饲料添加剂,应用现状	动物营养与饲料研究的历史、现状与未来动物营养与饲料科学,历史,现状,未来
作者单位:广安市 初中地理	浅谈如何利用平板教学提升初中生的地理素养平板教学,初中地理,素养,多样化,兴趣,教学方法	初中地理探究式教学刍议初中,地理教学,探究式
作者单位:繁昌三中	初中英语教学课堂中如何提高学生的学习兴趣初中英语,学习兴趣,课堂教学,培养	生物探究课教师的作用探究,自主性,素质
市场预测	基于Bass模型对中国私人载客汽车市场预测研究私人载客汽车,bass扩散模型,产品预测	保障适度量化下的基本医保筹资需求分析医疗保险,筹资机制,医疗费用,实际报销比例
情感分析 投资	语调、情绪及市场影响:基于金融情绪词典情绪词典,语调,投资者情绪,市场影响	父辈社会经济地位对子代教育获得及性别差异的影响研究父辈社会经济地位;教育获得;性别差异;性别平等观念
粘质沙雷菌	53株耐碳青霉烯类药物粘质沙雷菌的耐药表型分析粘质沙雷菌,碳青霉烯类,耐药性	耐碳青霉烯粘质沙雷菌耐药基因及分子流行病学研究粘质沙雷菌,碳青霉烯酶,耐药基因,肠杆菌科细菌基因重复序列,同源性分析
当代通信技术	新时期5G无线通信技术发展跟踪与应用5G无线通信;兼容性;高频传输	现代电力电子技术的应用研究电力电子技术;变频器;逆变电路;新能源汽车
食用菌发展前景	河南省食用菌产业现状和发展前景食用菌,产业现状,发展前景	桂林市食用菌生产现状及产业发展前景分析食用菌生产,现状,发展前景
营运资金管理研究	企业营运资金管理研究——以HD公司为例营运资金,营运资金管理,风险分析,内部控制	家电连锁零售企业价值链营运资金管理研究——以国美为例家电连锁零售,价值链,营运资金管理,国美电器
计算机网络技术	计算机网络技术应用分析应用,计算机网络技术,分析	计算机网络技术及在实践中的运用计算机网络技术,实践,运用
污水处理	膜生物反应器处理生活污水相关机理研究污水处理,生活污水,膜生物反应器,电子显微镜,过滤阻力	季节性气候变化下污水处理厂性能及污泥特性分析污水处理,季节性气候变化,污泥去除负荷,水温,污泥特性
电力工程造价管理过程	电力工程全过程造价管理存在的问题及具体对策电力工程,全过程造价	电力工程全过程造价管理措施探讨电力工程,全过程,造价管理措施,分析探讨
虚拟产业集群演化	基于演化博弈的虚拟集群企业入群决策分析虚拟集群,入群,演化博弈,激励原则	基于系统动力学的虚拟产业集群知识转移建模与仿真虚拟产业集群,知识转移,系统动力学
上海建筑	上海建筑——之城市印象上海,建筑,城市印象	"非参数法分析1994～2005年间上海建筑业生产效率发展状况非参数方法,上海建筑业,生产技术效率
"
锡矿选矿工艺	华南某锡矿选矿工艺研究铜铋钼锡矿,选矿,综合回收,工艺研究	难选钨锡矿选矿工艺试验研究钨锡矿,磁选,摇床,浮选,脱泥
作者:曾华娟	积极护理干预对预防产后尿潴留的体会产后尿潴留,积极护理干预,预防	农村中职学生心理健康问题的成因及教育对策农村中职学生,心理健康,成因,教育对策
多功能 热泵	间接膨胀式太阳能多功能热泵系统换热性能的实验研究太阳能,多功能,热泵,换热性能	3种工况下多功能太阳能热泵的热泵制热水性能多功能,太阳能热泵,制热水
校本课程	论校本课程资源的开发校本课程,课程资源,开发	农村校本课程的开发路径校本课程,课程开发,生本价值取向,文化再生产
政党政治碎片化	“政治环境”视角下德国政党格局的新变化德国,“政治环境”,政党格局,选择党,全民政党	欧洲政治碎片化与中欧关系走向欧洲政治,碎片化,中欧关系,民粹主义
机器视觉	基于机器视觉的机械表走时精度测量机械表,机器视觉,mask-rcnn	基于扫描电子显微镜的碳纳米管拾取操作方法研究碳纳米管,视觉反馈,接触检测,位姿识别
作者:史远	高教基教深度融合:生物科学专业创新型师范生培养模式的探索与实践生物科学,创新型师范生,培养模式	Gleeble-3800热模拟试验机压缩模块低应力加载试验设计热模拟试验机,低应力加载,单轴压缩试验
生物科学	国外生物科学期刊信息源概述生物科学,期刊,定量分析,外国	高中生物科学探究素养的培养策略高中生物,科学探究素养,培养策略
钣金工艺	分析当前钣金件结构设计及其工艺优化钣金件,结构设计,工艺优化,分析	机床钣金零件基础构造及其工艺探讨机床,钣金零件,基础构造,工艺加工
大学生职业生涯教育	论大学生职业生涯教育高等教育,大学生,职业生涯教育	基于新时代大学生职业生涯教育教师队伍建设研究新时代,大学生,职业生涯教育,教师队伍,建设措施
生育意愿影响因素	全面二孩政策下延安市宝塔区育龄妇女二孩生育意愿及其影响因素全面二孩政策;育龄妇女;生育意愿;影响因素	全面二孩政策下在浙高校女教师生育意愿及其影响因素调查研究全面二孩政策;高校;女教师;生育意愿
中央银行利率	中央银行选择中长期货币政策工具的内在逻辑——基于国际比较视角中长期货币政策;货币政策界定;短期利率传导不畅;政策利率并行	货币政策利率传导机制有效性分析——基于期限溢酬和利率预期的实证测度货币政策,利率传导机制,期限溢酬,利率期限结构
相关性分析	特殊负荷对日负荷的相关性分析方法特殊负荷,日负荷,相关性分析,灰色关联分析,模糊推理法	甘肃女性就业关键影响因素相关性分析甘肃女性,就业,相关性分析
(物联网技术 智能停车系统) Date:2015-2021	基于物联网技术的分区式停车引导系统设计与实现停车引导,物联网,图像识别,Raspberry Pi	基于NB-IoT的智能停车监测系统设计与实现NB-IoT,智能停车,监测系统,公有云平台
数据科学与大数据技术	大数据研究:未来科技及经济社会发展的重大战略领域——大数据的研究现状与科学思考大数据,数据科学,数据工程,第四范式	支持大数据管理的NoSQL系统研究综述NoSQL,key-value存储,大数据管理
作者单位:江苏省海门中学附属学校	初中地理核心素养的培养及教学方式研究初中地理,核心素养,问题,策略	"基于核心素养培育的初中数学情思教学实践研究初中数学;核心素养;情思教学;高效课堂
"
全家便利店	日系便利店在中国的发展日系便利店,发展,原因	日系便利店在中国的发展日系便利店,发展,原因
BCL-2抑制剂	基于蛋白结构的Bcl-2抑制剂设计与开发Bcl-2蛋白家族,小分子Bcl-2抑制剂,基于结构的设计,活性位点,细胞凋亡,肿瘤治疗	柚皮素联合Bcl-2抑制剂ABT-263调控信号通路AKT对胃癌细胞增殖凋亡的影响柚皮素,Bcl-2抑制剂,胃癌,细胞增殖,AKT信号通路
前路一期手术治疗胸椎 及胸腰段脊柱结核	一期前后路联合手术治疗多节段胸腰椎结核胸椎,腰椎,结核,脊柱,内固定器,骨移植	胸椎或胸腰段脊柱结核后路手术后复治患者的外科治疗]脊柱结核,后路手术,复发,外科治疗
触变泥浆隧道	原材料含量对顶管施工触变泥浆性能的影响顶管,触变泥浆,漏斗黏度,析水率,API失水量	顶管管节壁后触变泥浆探地雷达探测研究探地雷达,顶管,泥浆套,盾构隧道,电磁波传播速度
双亲共聚物	双亲嵌段共聚物PSt-b-PAA在甲苯中的自聚集行为自聚集,反胶束,极性荧光探针,苯乙烯-丙烯酸双亲嵌段共聚物	蝌蚪形双亲水性嵌段共聚物的合成及其水溶液性质原子转移自由基聚合,分子内叠氮-炔基点击化学反应,蝌蚪形双亲水性两嵌段共聚物,相转变,流体力学半径
光刻机镜头	深紫外光刻机的Lens flare监控优化光刻,关键尺寸,Lens flare,光罩	投影光刻机镜头的装校关键工艺与技术投影光刻机,光刻镜头,装校工艺
异位妊娠 病因	92例异位妊娠患者病因分析异位妊娠,发病因素	术后重复异位妊娠79例病因分析及应对措施重复性异位妊娠,病因,应对措施
线粒体 骨关节炎	低强度脉冲聚焦超声通过上调PGAM5蛋白表达促进软骨细胞线粒体自噬低强度脉冲聚焦超声,膝骨关节炎,线粒体自噬,PGAM5,FUNDC1	线粒体分裂抑制剂1对胶原诱导性关节炎小鼠疾病进展的抑制作用和机制线粒体分裂抑制剂-1;胶原诱导性关节炎;免疫组化染色
餐饮行业营改增问题	"餐饮业""营改增""后的影响及对策研究餐饮业,营改增,影响,对策"	对餐饮业“营改增”的思考营改增,餐饮业,政策建议
乳腺结节良恶性	BI-RADS超声分级与高频彩色多普勒超声评分诊断乳腺良恶性病变的应用价值乳腺疾病,超声检查,多普勒,彩色,诊断	超声造影在乳腺癌早期诊断中的临床应用超声检查,微气泡,乳腺肿瘤,早期诊断
抑郁的影响因素	青少年抑郁的影响因素及干预手段青少年抑郁;影响因素;干预	高龄产妇产后抑郁的影响因素分析高龄产妇,产后,抑郁,影响因素
人口老龄化产业结构	陕西省人口老龄化与产业结构升级的互动关系研究人口老龄化;产业结构升级;VAR模型;顶部老龄化	人口老龄化、健康投资与产业结构升级——基于1999-2018年省级面板数据的实证分析人口老龄化,健康投资,产业结构升级
5E教学模式	5E教学模式在地理实验教学中的应用 ——以河流地貌模拟实验为例5E教学模式,河流地貌发育,探究实验	5E教学模式在Python程序语言教学中的探索程序语言教学;5E教学模式;学习兴趣
脑出血治疗	分析急诊内科治疗突发性脑出血的临床疗效脑出血,内科,急救,急诊	阿加曲班在脑出血治疗中的研究进展阿加曲班,凝血酶,脑出血,脑水肿,继发性损伤
泊马度胺	治疗卡波西肉瘤口服药物——泊马度胺泊马度胺,卡波西肉瘤相关疱疹病毒,卡波西肉瘤	西达苯胺联合抗骨髓瘤药物对骨髓瘤细胞的增殖及凋亡的影响西达苯胺;多发性骨髓瘤;细胞凋亡
庞庄水库	太谷县庞庄水库橡胶坝设计综述橡胶坝,设计,庞庄水库	庞庄水库除险加固二期工程大坝坝型方案比较水库,大坝,坝型
(肝癌 治疗进展) Date:2015-*	原发性肝癌综合治疗进展肝肿瘤,综合疗法,综述	原发性肝癌发生机制及其治疗的研究进展原发性肝癌,机制,诊断,分期,治疗
((空间数据库) ) Date:2015-2021	基于机器学习的线性回归预测数据库空间使用情况的应用研究机器学习,线性回归预测,数据库,空间使用情况	关于空间数据库索引技术的研究空间数据库,索引技术,地理信息系统
中国科学院植物研究所 李敏	植物模式标本的考证与数字化:以中国国家植物标本馆为例中国科学院植物研究所国家植物标本馆,分类学,模式标本,模式标本数字化	1981-2015年神农架林区森林生态系统净初级生产力估算神农架林区,森林生态系统,净初级生产力(NPP),CEVSA2模型,气候因子
赤芍的化学成分	赤芍的药理作用研究进展赤芍,化学成分,药理作用	UPLC-Q-Trip-MS/MS法测定赤芍中4种成分的含量赤芍,芍药苷,没食子酸,儿茶素,苯甲酸,定量分析,检测
小学数学运算能力的提升	小学数学运算能力的提升方式探析小学数学,运算能力,提升方式	核心素养下小学数学运算能力的提升策略核心素养,小学数学,运算素养
止痛 网络药理学	基于网络药理学方法的元胡止痛滴丸治疗原发性痛经的配伍合理性分析网络药理学,元胡止痛滴丸,原发性痛经,配伍,合理性	基于数据挖掘和网络药理学类风湿关节炎湿热痹阻型用药规律和作用机制分析中医传承辅助平台;网络药理学;类风湿关节炎;湿热痹阻;关联规则;聚类分析;信号通路
产妇泌乳不足	穴位按摩联合补益气血膳食干预对产后缺乳产妇乳汁分泌促进的影响产后缺乳;穴位按摩;补益气血;膳食干预;乳汁分泌;母乳喂养	中医药促进剖宫产术后泌乳临床观察剖宫产术后,中药汤剂,乳房按摩,泌乳,中医药疗法
马尔可夫 多阶段 可靠性	基于PMS理论的常规潜艇任务可靠性研究任务可靠性,多阶段任务系统,马尔可夫过程,常规潜艇	地球同步轨道卫星多阶段任务可靠性建模地球同步轨道卫星,多阶段任务系统(PMS),二元决策图(BDD),马尔可夫模型,任务剖面,模块化建模,可靠性
小团圆媳妇	试论萧红《呼兰河传》中农村封建礼教对人性的迫害 ——以小团圆媳妇形象为例孩童,纯真天性,媳妇形象,女性悲剧,女性意识	“5W”模式视域下《呼兰河传》传播研究——以“小团圆媳妇之死”为例呼兰河传,封建礼教,5W模式
乳牙活髓保存	新型生物陶瓷材料在儿童牙髓治疗中的临床研究进展牙,乳,牙列,恒,生物陶瓷,活髓保存治疗,血运重建	金属预成冠对乳磨牙大面积龋病儿童活髓保存后的修复效果评价活髓保存,金属预成冠,乳牙龋齿,临床疗效,美容效果
故宫淘宝	浅析文创产品的新媒体营销模式 ——以故宫淘宝为例文化创意产业,故宫淘宝,新媒体微博	故宫淘宝的网络营销策略研究故宫淘宝,网络营销策略,文创产品
荧光PCR	基于TaqMan探针荧光PCR检测致泻性大肠埃希氏菌致泻大肠埃希氏菌,荧光PCR,致病因子,检测	非洲猪瘟病毒荧光PCR检测在养殖环节的应用非洲猪瘟;养殖环节;荧光PCR;常见问题;预防措施
内江市  初中教师	浅析思维导图在初中物理实践性教学中的应用思维导图,实践,发散思维	话题教学法在初中英语教学中的运用分析话题教学法,初中英语,教学策略
物流配送中心选址的重心法探讨	基于重心法的物流中心选址问题探讨物流中心选址重心法集对分析	物流配送中心选址决策在井下材料库选址中应用的探讨井下材料库,物流配送中心,选址,重心法,整数规划法
扫地机器人	基于Logistic映射的扫地机器人路径规划设计扫地机器人,路径规划,混沌算法,Logistic映射	智能扫地机器人发展历程及未来趋势智能扫地机器人,现状进展,关键技术,改进措施
环氧乙烷市场	精细化产品推动我国环氧乙烷需求持续增长环氧乙烷,现状与发展趋势,供需分析预测,主要衍生产品市场与应用,风险提示分析	环氧乙烷工艺流程的研究进展环氧乙烷;工艺;催化剂
