从《唐律疏义》看唐代封爵贵族的法律特权	从《唐律疏义》看唐代封爵贵族的法律特权《唐律疏义》,封爵贵族,法律特权
市政雨水管道设计	市政给排水工程中污水与雨水管道设计给排水工程,污水管道,雨水管道,设计方法
耳穴埋豆联合五倍子粉敷脐治疗冠心病患者盗汗的效果评价	耳穴埋豆联合五倍子粉敷脐治疗冠心病患者盗汗的效果评价
APD阵列单脉冲三维成像激光雷达的发展与现状	APD阵列单脉冲三维成像激光雷达的发展与现状APD,三维成像,激光雷达
美国毕业后医学教育认证委员会	美国毕业后医学教育认证体系及其启示美国,毕业后医学教育,认证体系,启示
分子印迹电化学传感器	分子印迹电化学传感器在食品检测中的研究进展分子印迹技术,电化学传感器,食品安全
BIM信息化技术在建筑工程教学中的运用	BIM信息化技术在建筑工程教学中的运用BIM信息化技术,建筑工程教学,应用
交通荷载作用下公路路基的动力有限元分析	交通荷载作用下公路路基的动力有限元分析交通荷载;公路路基;动力分析;有限元
268 例类风湿关节炎患者中医 型分布的调查	对268例类风湿关节炎患者中医证型分布的调查类风湿关节炎,中医证型,流行病学
岩溶山地城市建设用地扩展的地形梯度特征——以贵阳市为例	岩溶山地城市建设用地扩展的地形梯度特征——以贵阳市为例扩展强度,地形梯度,城市安全,建设用地,贵阳市
体育中考教学案例	初中生体育寒假作业案例分析初中生,体育寒假作业,案例分析
高中生物大单元整体设计与学习 以人教版《遗传与进化》大单元为例	高中生物大单元整体设计与学习-以人教版《遗传与进化》大单元为例高中生物,大单元整体设计学习,遗传与进化
低白蛋白血症 术后	腹部术后低白蛋白血症患者补充人血白蛋白效果回顾性研究人血白蛋白,腹部手术,低白蛋白血症,回顾性研究
马尔科夫跳变系统的故障估计与容错控制	马尔科夫跳变系统的故障估计与容错控制
教学团队运行机制	基于过程管理的高校教学团队运行机制研究——以江西师范大学E教学团队为例过程管理;高等学校;教学团队;运行机制
航天 睡眠 中醫	跨昼夜节律睡眠方法近况研究睡眠,催眠,针灸,正念冥想,生物反馈,经颅磁刺激
生鲜食品保鲜技术研究	生鲜食品保鲜技术研究进展生鲜食品,果蔬,水产品,保鲜技术,研究进展
	The Modulus-Based Levenberg-Marquardt Method for Solving Linear Complementarity Problem
老旧小区基础设施	西安地区老旧小区室外环境绿色改造策略研究老旧小区,室外环境,绿色设计,改造策略
型病毒性肝炎患者幽门螺杆菌感染的临床分析	型病毒性肝炎患者幽门螺杆菌感染的临床分析乙型肝炎,幽门螺杆菌,病毒性肝炎
现代教育技术应用于高校英语教学的路径初探	现代教育技术应用于高校英语教学的路径初探现代教育技术,高校英语教学,综合素质
脑卒中病人预防误吸的标准化护理流程及措施	脑卒中病人误吸预防的标准化护理流程及措施——基于循证及德尔菲函询法的专家共识脑卒中,误吸,预防,标准化流程,护理措施,循证,德尔菲法,专家共识
江苏响水至内蒙古满都拉地学断面	江苏响水至内蒙古满都拉地学断面裂谷盆地,中地壳,全球地学断面,地壳厚度,下地壳,鄂尔多斯块体,内蒙古,古大陆边缘,构造单元,中朝板块
基于matlab图像识别	基于MATLAB图像处理的农业杂草种类识别研究MATLAB图像处理,杂草识别,光谱特征,图像灰化度
钒液流储能电池建模及其平抑风电	钒液流储能电池建模及其平抑风电波动研究钒氧化还原液流电池,风力发电,储能系统,平抑控制
.二氧化硅微球的制备及自组装[	钠离子改性二氧化硅微球的制备及其光子晶体自组装光子晶体,二氧化硅微球,自组装,钠离子改性
多孔PDMS薄膜	低介电聚酰亚胺多孔薄膜的制备及其性能聚酰亚胺多孔薄膜;制备工艺;介电常数;热性能;力学性能
核心素养理念下的高中语文教学策略与实践	核心素养理念下的高中语文教学策略与实践高中语文,教学策略,核心素养
细胞壁转化酶糖代谢	西瓜接穗对嫁接苗根系糖代谢及生长发育的影响嫁接,西瓜接穗,根系,糖代谢,细胞壁转化酶,己糖激酶
矿井瓦斯事故的事故树分析	矿井瓦斯事故的事故树分析事故树,矿井,煤矿瓦斯
乡村振兴战略背景下大学生返乡创业的机会与实现路径研究	乡村振兴战略背景下大学生返乡创业的机会与实现路径研究乡村振兴,大学生,返乡创业,创业机会,创业实践
高速超越斜撑离合器设计技术研究	高速超越斜撑离合器设计技术研究超越离合器;斜撑离合器;设计方法;试验方法;有限元分析
日本民族文化下的	日本民族文化下的现代食品包装设计应用研究日本;民族文化;食品包装;创意设计
2021年全球经济形势	2021年中国工业经济发展形势研判
当前事业单位的财务管理现状	当前形势下事业单位财务预算管理存在的问题与对策事业单位,财务,预算管理,问题与对策
中央坏死性乳腺癌	中央坏死性乳腺癌12例临床病理分析乳腺肿瘤,中央坏死性乳腺癌,临床病理学
齿轮和轴承混合故障特征	基于改进的自适应噪声消除和故障特征阶比谱的齿轮噪源干扰下变转速滚动轴承故障诊断滚动轴承故障诊断,变转速,齿轮噪源,瞬时啮合倍频,瞬时故障特征频率,故障特征阶比谱
预防性维护在医院医疗设备管理应用价值探讨	基于风险分析的预防性维护对医疗设备管理质量的影响风险分析,预防性维护,医疗设备,设备管理质量
讨论市政工程施工中的软基加固技术	讨论市政工程施工中的软基加固技术市政工程,施工,软基加固技术
二氧化碳的实验室制取与性质	\二氧化碳的性质与实验室制取\实验活动设计CO2,性质,实验室制取,设计
紫外可见光谱及成像方法研究二妙丸药物对高尿酸血症疗效的影响	紫外可见光谱及成像方法研究二妙丸药物对高尿酸血症疗效的影响高尿酸血症,黄嘌呤氧化酶,肾小球萎缩,紫外分光光度法,HE染色,Masson染色
广东省纺织服装出口	广东省纺织服装业出口贸易现状及对策分析摘要广东省,纺织服装业,进出口,竞争力,对策研究
医疗器械电磁辐射对人体的伤害与防护	医疗器械电磁辐射对人体的伤害与防护医疗器械,电磁辐射,危害与防护
高量子产率石墨烯量子点的制备分析和应用	若干新型石墨烯量子点的制备及其在金属离子检测和光催化中的应用研究石墨烯量子点;硫掺杂;制备工艺;金属检测;光催化性能
RFID安全 隐私保护	智慧医疗中RFID安全与隐私保护方案研究智慧医疗,RFID,安全与隐私,国外实践、SPCE模型
吉林省私营企业劳资关系问题研究	吉林省私营企业劳资关系问题研究劳资关系,社会保障,社会保险
小行星 姿态控制	考虑执行机构故障的深空探测器容错控制方法研究深空探测器;容错控制;执行机构故障;自适应迭代学习算法
异步电机的建模与仿真	异步电机矢量控制系统的仿真建模与实现异步电机,矢量控制,仿真建模,解耦控制
左冠状动脉解剖特征与前降支急性心肌梗死发生及预后的关系	左冠状动脉解剖特征与前降支急性心肌梗死发生及预后的关系左冠状动脉,解剖特征,急性心肌梗死,预后
内蒙古东部地区水资源生态足迹比较分析	内蒙古东部地区水资源生态足迹比较分析水资源生态足迹,内蒙古,兴安盟,通辽市,比较分析
初中英语阅读教学中问题链的设计	问题链在初中英语阅读教学中的应用初中英语,阅读教学,问题链设计,阅读技能
对口帮扶：实现区域平衡发展的路径选择	对口帮扶:实现区域平衡发展的路径选择——以北京对口帮扶河北为例不平衡,对口帮扶,协同发展,京津冀,生态涵养区
徐霞客科学求真精神与陈函辉的鼎力相助	徐霞客科学求真精神与陈函辉的鼎力相助
computer science and technology	Research on the Function in the Training of Applied Talent in Engineer Discipline Made by Campus Culture Activities: A Case Study on Computer Science and Technology Majorcampus culture,,applied talent,,higher education massification,,computer science and technology major
上汽荣威550插电式混合动力系统的特点	上汽荣威550插电式混合动力系统的特点插电式混合动力,电驱变速厢,THS
车路协同 交通控制	车路协同条件下城市交通流优化控制策略的研究车路协同;交通流;路径诱导;交通拥堵;分簇跟驰;智能交通
新生儿筛查假阳性	新生儿听力筛查中假阳性影响因素研究新生儿,假阳性,听力筛查,影响因素
病区消毒机空气消毒	循环风空气消毒机在呼吸道病区空气消毒效果观察静电除菌,紫外线,空气消毒机,净化效果
中国传统文化对犯罪预防的意义	优秀传统文化渗透未成年人犯罪预防的几点思考传统文化,未成年人,犯罪预防
卡尔曼滤波 微电网	基于卡尔曼滤波的微电网同步并网研究卡尔曼滤波,微电网,同步并网
北部湾海洋文化博物馆	防城港的贝丘遗址与北部湾海洋文化的起源
中药提取物 化学部位探究	中药小茴香的化学成分和生物活性研究小茴香;化学成分;抗肝纤维化;生物活性;抗氧化活性
聚酰亚胺刻蚀机理	反应离子刻蚀加工工艺技术的研究微机电系统,工艺,反应离子刻蚀
围术期呼吸功能训练对肺癌合并慢阻肺	围手术期呼吸功能训练对肺癌合并慢阻肺患者术后康复的影响呼吸功能训练,肺癌,慢阻肺,康复
人像识别技术在侦查破案中的应用与思考	人脸识别技术在视频侦查中的探索思考大数据,智能化,人脸比对,视频侦查
样本权重 遗传算法	近红外光谱结合遗传算法优化的极限学习机实现银杏叶纯化过程有效成分快速测定银参通络胶囊,近红外光谱技术,遗传算法优化的极限学习机,协同区间偏最小二乘法,竞争自适应加权重采样方法
中国当代婚姻的现状	当代中国离婚现状及原因分析离婚,婚姻,古今,中西,现状及原因
专利价值 评价体系	以市场价值为导向的高校专利价值评价体系研究高校专利,价值评价,市场询价,专利管理
配电网最恶劣场景	考虑电动汽车配置的主动配电网鲁棒孤岛恢复主动配电网,孤岛恢复,列约束生成方法,混合整数二阶锥优化
抗癌抑瘤方联合CapeOx方案治疗晚期结直肠癌	抗癌抑瘤方联合CapeOx方案治疗晚期结直肠癌结直肠癌,抗癌抑瘤方,奥沙利铂,卡培他滨
疼痛评估量表应用的中国专家共识	中文版DN4神经病理性疼痛量表的制定与评估
JN1015工况	CVT式混合动力汽车优化控制方法研究混合动力汽车;优化控制;动态规划;能量分配;换挡策略
天津市1999至2014年糖尿病相关疾病死亡变化趋势分析	天津市1999至2014年糖尿病相关疾病死亡变化趋势分析糖尿病,死亡率,监测,流行病学研究
化疗SMILE方案	改良SMILE方案治疗晚期或复发难治NK/T细胞淋巴瘤疗效观察NK/T细胞淋巴瘤,复发或难治性,改良SMILE方案
ekg picc	EKG腔内心电定位技术在PICC置管尖端定位的临床应用腔内心电图,PICC置管,尖端定位,临床研究
歧视知觉与留守初中生孤独感和问题行为：师生关系和同学关系的作用	歧视知觉与留守初中生孤独感和问题行为:师生关系和同学关系的作用歧视知觉,师生关系,同学关系,孤独感,问题行为,留守初中生
新发展格局下的进出口贸易	中国贸易格局变迁及对经济增长的影响——以高新技术产业为例出口贸易;分布格局;经济增长;高新技术产业
经动脉入路应用Scepter双腔导管及ONYX胶栓塞硬脑膜动静脉瘘七例报道	经动脉入路应用Scepter双腔导管及ONYX胶栓塞硬脑膜动静脉瘘七例报道硬脑膜动静脉瘘,栓塞,Scepter双腔导管,ONYX 18胶
应用 Actigraph 三轴加速度传感器矢量计数监测日常体力活动的研究	应用Actigraph三轴加速度传感器矢量计数监测日常体力活动的研究体力活动,加速度传感器,矢量计数,能耗预测方程,临界点
老年人缺血性结肠炎临床特征及与中青年患者对比分析	老年人缺血性结肠炎临床特征及与中青年患者对比分析老年人,缺血性结肠炎,临床特征
绿色建筑 生态湿地	无锡太湖新城国家绿色生态城区绿色建筑专项规划研究国家绿色生态城区,绿色建筑,专项规划,潜力分析因子,编制方法
隧道衬砌裂缝 控制	铁路隧道二次衬砌裂缝预防及控制措施铁路隧道,二次衬砌裂缝,控制措施
三效降膜式蒸发器	分隔式降膜蒸发器设计计算与多效蒸发系统计算机模拟及其软件开发分隔式降膜蒸发器;多效蒸发系统;计算机模拟
血浆总同型半胱氨酸测定在智力低下等神经精神异常病因调查中的应用	血浆总同型半胱氨酸测定在智力低下等神经精神异常病因调查中的应用智力低下,同型半胱氨酸血症,甲基丙二酸尿症,丙酰肉碱
浅析高校大学生就业现状及对策研究	浅析高校大学生就业现状及对策研究大学生,就业现状,对策指导
宋剑峰安徽中医药大学	消瘀接骨散外敷治疗膝关节半月板损伤的临床观察消瘀接骨散,半月板损伤,膝关节
龙牙楤木多糖诱导人肝癌SMMC-7721细胞凋亡机制研究	龙牙楤木多糖诱导人肝癌SMMC-7721细胞凋亡机制研究龙牙楤木多糖,凋亡,survivin,caspase-3,bcl-2
基于Cap理论的系统设计	基于Cap理论的系统设计Cap理论,系统设计,模型
回归分析图书管理	基于回归分析的网络信息老化问题研究——以图书情报学电子期刊为例网络信息老化问题;网站管理;评价指标;回归分析
研究生学术道德建设	浅谈加强高校研究生学术道德建设高校研究生,学术道德,学术道德缺失,学术道德建设
新市场环境下中石化	新市场环境下中石化成品油营销策略分析新市场环境,中石化成品油,销售策略
马泓冰, 庄羽美, 徐颖, 郁健锋, 刘琳, 李文香	阳离子交换一步层析法纯化抗gp130单克隆抗体阳离子交换层析法,纯化,单克隆抗体
智慧水务 智能加药	智慧水务在江宁科学园污水厂四期工程的实践研究污水厂,智慧水务,智能加药,仿真
沟播对盐碱地小麦光合日变化及产量的影响	沟播对盐碱地小麦光合日变化及产量的影响沟播,小麦,光合日变化,产量
轨道交通课程思政	《城市轨道交通规划》课程思政教学改革研究城市轨道交通,课程思政,立德树人
室内设计颜色应用规律	浅谈色彩在室内设计中的应用室内设计,色彩,设计
热轧带钢热轧区物理冶金过程数值模拟及应用研究	热轧带钢热轧区物理冶金过程数值模拟及应用研究热连轧,数值模拟,过程模拟,奥氏体再结晶,CSP
UNITANK工艺污水处理厂设计	Unitank工艺在赣州市污水处理厂工程中的应用污水处理,Unitank工艺,工艺原理,工程设计
树脂基复合材料性能	石墨烯改性树脂基复合材料力学性能研究进展石墨烯,纤维,树脂,复合材料,力学性能
试析中国民族乐器资源融合的新路径	试析中国民族乐器资源融合的新路径中国民族乐器,资源融合,高校音乐教学
我国区际法律冲突问题	试论我国区际法律冲突的几个问题区际法律冲突,\一国两制\,中国特色法律冲突
第三军医大学学报	长风破浪会有时直挂云帆济沧海——《第三军医大学学报》创刊40周年学报,创刊,军事医学,学术质量,团队建设
基于改进K-means聚类的电力市场下分布式储能系统经济性调控模型	基于改进K-means聚类的电力市场下分布式储能系统经济性调控模型储能系统,K-means聚类,聚合建模,可调度潜力
智能化的物流搬运机器人agv	智能化的物流搬运机器人-AGV
基于字符特征的数字字符识别	基于模板匹配与结构特征的字符识别算法研究字符识别;模板匹配;结构特征;车辆识别系统;智能交通系统
人力资源管理 员工绩效	基于员工视角分析事业单位人力资源管理与组织绩效的相关性员工视角,人力资源管理,组织绩效,相关性
电力二次系统一体化关键技术及推广应用	新一代智能变电站集成化二次设备关键技术的应用研究智能变电站;集成技术;二次设备
房地产可行性研究对项目设计的重要性	可行性研究对于房地产项目的重要性可行性研究,房地产项目,重要性
公路建设中沥青混凝土路面施工技术	公路建设中沥青混凝土路面施工技术公路施工,沥青混凝土,基本原则,施工技术,施工材料
红外热成像 卤素灯	LED手术无影灯的设计手术无影灯;发光二级管光源;色温调节;非成像光学设计;光度学表征
媒体该如何报道冷门体育项目	媒体该如何报道冷门体育项目冷门项目,报道方针,媒体
图像文本情感分析	融合图像与文本的多模态情感分析方法研究
多并苯材料研究进展	新型氮杂多并苯材料的设计、合成及性能研究有机半导体材料;氮杂多并苯;合成工艺;光电性能
TLR4/NF-κB信号通路	黄连解毒汤对变应性鼻炎大鼠TLR4/NF-κB信号通路及黏膜杯状细胞的影响黄连解毒汤,变应性鼻炎,杯状细胞,TLR4/NF-κB信号通路
细节护理对小儿支气管炎临床效果的作用探讨	细节护理对小儿支气管炎临床效果的作用探讨细节护理,小儿,支气管炎,效果,作用
日本福岛核废水排放	日本福岛核事故海水中放射性核素扩散模型研究福岛核事故,扩散定律,数学模拟,放射性核素
python边缘检测流程	基于Python的甲骨文摹本半自动生成系统的设计与实现甲骨拓片,摹本,泛洪填充,比例尺
医学科技成果转化差距	制约医学科技成果转化的主要因素及对策成果转化,市场需求,科研导向
低功耗高可靠性的过流保护电路	一种低功耗高可靠性的CMOS过流保护电路过流保护,低功耗,foldback,CMOS,MOSFET
二线方案治疗98例复发难治弥漫	二线方案治疗98例复发难治弥漫大B细胞淋巴瘤的疗效及预后分析淋巴瘤,大B细胞,弥漫性,抗肿瘤联合化疗方案,预后
聚乙二醇化重组人粒细胞刺激因子	预防性应用聚乙二醇化重组人粒细胞刺激因子在乳腺癌辅助化疗中的价值乳腺癌,聚乙二醇化重组人粒细胞刺激因子,辅助化疗,中性粒细胞减少,生命质量
中国就业模式研究	中国就业模式研究中国,就业模式,研究,劳动力
中国最后一位“士大夫”	中国最后一位士大夫--汪曾祺汪曾祺,士大夫,20世纪80年代初,中国,现代文学史,当代文学史
现当代女性主义小说	\天使\的颠覆与女性形象的重构--澳大利亚现当代女性主义小说评析\天使\形象,菲勒斯中心主义,女作家,颠覆,女性文本形象,重构
新型杀虫剂氰氟虫腙	新型杀虫剂氰氟虫腙新型杀虫剂,德国巴斯夫公司,鳞翅目害虫,腙,氟,氰,农药公司,化合物
制造业供应商评价体系	中外制造业供应商绩效评价体系对比研究供应商管理,绩效评价,中外对比,协同能力
槲皮素 抑制肿瘤	槲皮素通过调控p21/cip1和p27/kip1蛋白的稳定性抑制口腔鳞状细胞癌细胞增殖槲皮素,口腔鳞状细胞癌,p21/cip1,p27/kip1,增殖
民法中相对人的来源	论法定代表人越权代表行为相对人的善意--以法院裁判个案为例合同法;法定代表人;越权代表;交易相对人;法律效力
动态共价交联香草醛基热固性树脂制备及其降解性能研究	动态共价交联香草醛基热固性树脂制备及其降解性能研究
员工激励and双因素理论	——以\90后\员工为例双因素理论,保健因素,激励机制,\90后\员工
甜龙竹用林栽培技术	甜龙竹的丰产栽培技术及效益分析丰产栽培技术,效益分析,甜龙竹
基于信息融合的煤矿皮带输送机故障诊断智能决策支持系统研究	基于信息融合的煤矿皮带输送机故障诊断智能决策支持系统研究决策支持系统;信息融合;皮带输送机;故障诊断
俄国形式主义文论	从文学特征论看俄国形式主义与中国古代文论之异同俄国形式主义,中国古代文论,文学特征,文笔,诗法
肠易激综合征 门诊就诊率	消化门诊肠易激综合征患者肠外症状分析肠易激综合征,症状,肠外症状,诊断
消除约束/驱动奇异的冗余驱动原理及并联腿机构设计	消除约束/驱动奇异的冗余驱动原理及并联腿机构设计冗余驱动并联机构,约束雅可比矩阵,次生约束雅可比矩阵,完整雅可比矩阵
高中英语写作现状	高中英语写作教学现状探究高中英语,写作教学,现状
血液透析心理护理	心理护理对维持性尿毒症血液透析患者负面情绪及生活质量的影响优质护理,尿毒症,血液透析,心理状态,护理满意度
全髋关节置换术与骨折内固定治疗中年股骨颈	全髋关节置换术与骨折内固定术治疗中老年股骨颈骨折的疗效分析关节成形术,置换,髋,骨折固定术,内,中年人,老年人,股骨颈骨折
Plant Simulation	基于Plant Simulation的车间调度优化仿真排列方式,仿真优化,遗传算法,Plant Simulation仿真平台
程薇 北京中医药大学	北京市中医药服务能力发展状况研究中医药,服务能力,中医总费用,北京
EPC存在的问题	EPC总承包管理存在的问题及改进EPC,总承包管理模式,存在的问题,改进方法
生成对抗网络 像素组合	基于组合学习的人脸超分辨率算法组合学习,人脸幻构,生成对抗网络,融合网络,深度学习
肾恶性孤立性纤维性肿瘤腹膜后复发一例报告	肾恶性孤立性纤维性肿瘤腹膜后复发一例报告
模态分析结构识别	基于模态参数灵敏度分析的结构损伤识别研究振动测试,模态分析,模型修正,灵敏度分析,损伤识别
甲壳类浮游动物鉴定	汤浦水库浮游甲壳类动物群落结构特征研究汤浦水库,浮游甲壳动物,群落结构,水质
法学生考研心态分析	对当代大学生考研心态变迁的分析大学生,就业,考研热,本科教育,可视化
血糖控制不佳 心理	空巢老年糖尿病患者血糖控制不佳的原因分析与护理对策空巢老年,糖尿病,血糖,护理
Multimedia English	Research on the English Teaching Platform Based on the Campus Network MultimediaCAMPUS,NETWORK,MULTIMEDIA,English,TEACHING,PLATFORM
理实一体化 课程体系	“校企合作”理实一体化课程体系在化学制药工艺学课程教学中的应用研究校企合作,实践,理实一体化,化学制药工艺学
中国第四纪下限研究现状浅析	中国第四纪下限研究现状浅析第四纪下限,G-M界线(高斯正极性—松山反极性界线),对比分析,中国
城市通风廊道规划建设对策研究	城市通风廊道规划建设对策研究——以安庆市中心城区为例通风廊道,规划,安庆
针对性护理在新生儿呼吸窘迫综合征中的应用	针对性护理在新生儿呼吸窘迫综合征中的应用针对性护理,新生儿,呼吸窘迫综合征,护理满意度
抗生素效价精密度	微生物浊度法测定三种兽用抗生素效价浊度法,硫酸安普霉素,泰乐菌素,硫酸黏菌素,效价测定
舆论战传播致效的谋略内核	舆论战传播致效的谋略内核舆论战,传播谋略,谋略内核
海陆风 边界层高度	海南岛昌江地区海陆风及边界层高度的时间变化的数值模拟研究
质量成本线性回归分析	基于质量分析的电缆主材成本线性回归计算模型电力电缆,品质控制,回归分析,成本估算
原发性纤毛运动障碍4例病例报道并文献复习	原发性纤毛运动障碍三例纤毛结构与基因变异并文献复习卡塔格内综合征,纤毛,基因
氯雷他定联合甲基强的松冲击治疗小儿过敏性紫癜的临床疗效	氯雷他定联合甲基强的松冲击治疗小儿过敏性紫癜的临床疗效小儿过敏性紫癜,氯雷他定,甲基强的松龙
FAERS数据库药物不良反应挖掘与分析	FAERS数据库药物不良反应挖掘与分析药物不良反应;FAERS数据库;比例失衡分析法;三元混合模型;数据挖掘
Keypad/Bluetooth/GSM Based Digital Door Lock Security System	Keypad/Bluetooth/GSM Based Digital Door Lock Security System
机械工程技术标准体系	工程机械节能标准体系建立及体系框架结构工程机械,节能标准体系
guideline sudden	美国耳鼻咽喉头颈外科学会2019年突发性聋临床实践指南解读及与2012版指南的差异听觉丧失,突发性,指南
埋地燃气管道泄漏扩散模型	埋地燃气管道泄漏扩散模型埋地燃气管道,泄漏,扩散方程
丹江口库区流域面源污染输出规律	丹江口库区流域面源污染输出规律与养分收支研究水体污染;污染物输出;季节差异;营养成分
堆载预压法处理土时计算	堆载预压法处理软土时计算固结度的几种方法堆载预压法,固结度,计算方法
疫情下的河南外贸企业	新冠肺炎疫情下外贸企业面临的困境与出路新冠肺炎,外贸企业,“稳外贸”
数值模拟机翼结冰及其对飞行安全的影响	数值模拟机翼结冰及其对飞行安全的影响机翼结冰;数值模拟;撞击特性;飞行安全
中学生田径400米	浅谈中学生400米跑的训练方法放松能力,负重弓,负重练习,学生能力,力量练习,杠铃练习,中学生,跨步跳,跳跃练习,加速跑
运动平板试验 心	冠状动脉钙化检测联合运动平板试验检查对冠心病的诊断价值冠心病,冠状动脉钙化积分,运动平板试验,诊断价值
T淋巴细胞亚群对重症甲型流感患者预后的评估价值	T淋巴细胞亚群对重症甲型流感患者预后的评估价值甲型流感病毒,淋巴细胞亚群,免疫功能,危险因素,预后
脐带间充质干细胞治疗肝病研究进展	脐带间充质干细胞治疗肝病研究进展脐带间充质干细胞,肝病
多层喷射沉积高硅铝合金工艺及性能研究	多层喷射沉积高硅铝合金工艺及性能研究多层喷射沉积;高硅铝合金;快速凝固;耐磨性;成形性
山地城镇在地景观研究	山地城镇在地景观研究:缘起、发展与展望风景园林,山地城镇,在地景观,研究展望
强力阿莫仙治疗耐多药肺结核病探讨	强力阿莫仙治疗耐多药肺结核病探讨结核,肺,强力阿莫仙,耐多药-TB,药物疗法
临床技能实训系统背景	高职医学检验技术专业仿真模拟训练系统构建研究职业教育,医学检验技术专业,仿真模拟训练系统,数字化实训,实训基地
中国城市化进程中的居民家庭能源消费及碳排放研究	中国城市化进程中的居民家庭能源消费及碳排放研究居民家庭,直接能源消费,间接能源消费,碳排放
臭氧-活性炭工艺深度处理煤制气废水试验研究 刘莹	臭氧-活性炭工艺深度处理煤制气废水试验研究深度处理,煤制气废水,臭氧,臭氧催化氧化
Rotary Drier	Temperature Estimation in a Rotary Drierlight expanded clay aggregate,rotary drier,temperature estimation,kalman filter.
非利息收入银行盈利	商业银行非利息收入对盈利能力的影响研究非利息收入占比,盈利能力,非平衡面板回归
窦房结组织工程基础研究进展	窦房结组织工程基础研究进展窦房结,细胞培养,电生理,组织工程
电路故障预测技术	模拟电路故障预测与健康管理的关键技术研究模拟电路;故障预测;健康管理;安全运行
控股股东股权质押	控股股东股权质押对盈余管理的影响控股股东,股权质押,盈余管理
经济周期理论与盈余管理	经济周期、盈余管理与审计质量盈余管理;经济周期;审计质量
激光静脉曲张对比	静脉腔内激光和传统手术治疗下肢静脉曲张的近期疗效对比下肢静脉曲张,静脉腔内激光,传统手术,近期疗效
农村振兴职业规划	乡村振兴战略下农村职业教育发展现状及应对策略乡村振兴,农村职业教育,高质量发展,供给侧改革
论集体主义的历史嬗变	论集体主义的历史嬗变集体主义,整体主义,虚假的集体主义,无产阶级的集体主义,和谐本位
浅论上海国际金融中心的建设	浅论上海国际金融中心的建设国际金融中心;上海;发展思路
浅谈冶金设备设计改造备件通用性问题	浅谈冶金设备设计改造备件通用性问题冶金设备,设计改造,备件通用性
政府补助、行业竞争环境与R&D投入	政府补助、行业竞争环境与R&D投入--基于高新技术上市公司的经验证据高新技术上市公司;政府补助;行业竞争环境;R&D投入;产权性质
城市化水平评价的指标体系研究	城市化水平评价指标体系研究城市化,城市化进程,城市化水平,评价指标体系
客观结构化教学评估在全科基层实践师资教学能力评估中的应用	客观结构化教学评估在全科基层实践师资教学能力评估中的应用全科,基层实践师资,客观结构化教学评估,教学能力
心理健康教育的重要性	论小学生心理健康教育的重要性小学生,心理健康教育
我国高铁稳步发展对物流业的影响分析	我国高铁稳步发展对物流业的影响分析物流业,货运产品,物流服务,全程物流,铁路货运服务,新形势,高铁,铁路客运,物流企业,铁路运能
甲泼尼龙不良反应	阿奇霉素联合甲泼尼龙治疗小儿支原体肺炎效果及不良反应观察阿奇霉素,甲泼尼龙,小儿支原体肺炎,不良反应
初中数学情境教学应用	浅谈情境导学在初中数学教学中的应用初中数学,情境导学,教学应用
基于消费者调查的小红书社区 +电商 的商业模式研究	基于消费者调查的小红书社区+电商的商业模式研究小红书,社区+电商,影响因素,计划行为理论,回归分析
中小企业在发展中过程中	浅谈中小企业在发展过程中存在的问题与对策中小企业,中小企业发展,中小企业发展规律
影响二氧化碳测定的不稳定因素	影响血液二氧化碳测定的不稳定因素探讨
中医治疗过敏性鼻炎	过敏性鼻炎的中医治疗研究进展过敏性鼻炎,中医治疗,综述
医保基金使用监督管理条例	对比解读医保基金使用监管条例中的新变化
罕见的双阴茎畸形	罕见的双阴茎畸形
柔性导电材料的应用	柔性导电高分子复合材料在应变传感器中的应用柔性,导电高分子,复合材料,应变,传感器
Bayes 多源 飞机	基于信息融合的民用飞机可靠性数据分析方法研究民用飞机;信息融合;可靠性数据分析模型;区间估计方法
STM32伺服控制器	基于STM32的2D比例伺服阀数字控制器的设计与研究电液控制系统;2D比例伺服阀;数字控制器;结构设计
ACC/AHA/ESC 室性心律失常治疗和心脏性猝死预防指南解读	2006年ACC/AHA/ESC室性心律失常治疗和心脏性猝死预防指南解读(3)
心电监护仪质量检测结果讨论	心电监护仪质量检测结果讨论心电监护仪,质量检测结果,检测情况
一种基于图像多区域的变步长	一种基于图像多区域的变步长自动曝光算法自动曝光,图像多区域,变步长,主体区域,背景区域
苏州大学附属第三医院 王斌	新型胸骨板的临床应用——双中心随机对照胸骨板,钢丝,胸骨愈合
121例整形美容受术者心理状态初步分析	121例整形美容受术者心理状态初步分析整形美容手术,心理学,量表测试
杀鱼爱德华氏菌外膜囊泡转运型细菌毒力因子的筛选及初步功能研究	杀鱼爱德华氏菌外膜囊泡转运型细菌毒力因子的筛选及初步功能研究杀鱼爱德华氏菌;外膜囊泡;毒力因子;溶血素;细胞内化机制
蓝莓 花青素 综述	蓝莓花青素的研究进展蓝莓,花青素,生理功能,稳定性,提取纯化
土地制度 社会制度	我国土地制度对经济发展的影响土地,发展,土地制度,经济增长,资源配置
太钢不锈钢股份有限公司设备物资采购部	稳定高效绿色-后危机时期的太钢备件采购策略
雷克萨斯CT200h	混动低油耗品牌价值高——雷克萨斯CT200h车主调查分析报告雷克萨斯,调查分析报告,品牌价值,低油耗,车主,混合动力车,上市,世博园
